id,index,center,device_loc,petal_id,x,y,z,q,s,t,pinhole1,pinhole2,pinhole3,pinhole4
11,P117,"{'x': 54.428964310000005, 'z': -0.47378470999999905, 'y': 32.157361564999995}",11,4,54.428964310000005,32.157361564999995,-0.47378470999999905,-77.42483695388589,63.2211429831542,-0.0678152756119831,"{'x': 54.993206840000006, 'error': 5.7455967665931425e-05, 'z': -0.48324559999999905, 'y': 31.66342124}","{'x': 54.66108038, 'error': -0.001028542819853, 'z': -0.481502159999999, 'y': 33.228340939999995}","{'x': 53.82054750000001, 'error': -0.001564749005135, 'z': -0.466925559999999, 'y': 31.41592892}","{'x': 54.24102252, 'error': -9.230466492657352e-05, 'z': -0.463465519999999, 'y': 32.32175516}"
239,P126,"{'x': 215.75898940499997, 'z': -7.696694559999999, 'y': 149.91625259}",239,4,215.75898940499997,149.91625259,-7.696694559999999,-73.20719013890508,262.88393629493225,-0.12269175590400126,"{'x': 216.44872459999996, 'error': 0.00023182921294000002, 'z': -7.739273679999999, 'y': 150.20805756}","{'x': 214.89697533999998, 'error': 0.0013048088315230002, 'z': -7.6932011, 'y': 150.59667404}","{'x': 216.16039803999996, 'error': 0.002725177132857, 'z': -7.6842387, 'y': 149.04052201999997}","{'x': 215.52985963999998, 'error': 4.208550603790328e-05, 'z': -7.67006476, 'y': 149.81975674}"
517,P134,"{'x': 394.06845212999997, 'z': -18.90941797, 'y': 113.27461242500002}",517,4,394.06845212999997,113.27461242500002,-18.90941797,-91.96275170699245,410.61881018856644,0.019637486226678786,"{'x': 394.72156898000003, 'error': 0.0005103057393460001, 'z': -18.9725828, 'y': 112.91051874}","{'x': 394.06966991999997, 'error': -0.00020862219781700003, 'z': -18.95131174, 'y': 114.37050266000001}","{'x': 393.63157248, 'error': 0.00039213607506300005, 'z': -18.833105240000002, 'y': 112.42196324000001}","{'x': 393.85099714, 'error': 0.000436333435039, 'z': -18.880672099999998, 'y': 113.39546506000002}"
1533,P012,"{'z': -18.858517675, 'x': 368.10000619499993, 'y': 176.61714604}",533,5,368.10000619499993,176.61714604,-18.858517675,-46.3679586628681,408.875486265711,-0.10113710690605719,"{'z': -18.956218659999998, 'x': 368.83920617999996, 'y': 176.71373739999999, 'error': 0.001959023435017}","{'z': -18.838770320000002, 'x': 367.45040804, 'y': 177.50049116, 'error': -0.00023855632806400002}","{'z': -18.824485560000003, 'x': 368.25681436, 'y': 175.66985368, 'error': 8.603277548113743e-05}","{'z': -18.81459616, 'x': 367.85359619999997, 'y': 176.58450192, 'error': 0.0024135964767970004}"
1496,P046,"{'z': -16.153838629999996, 'x': 331.003510945, 'y': 185.671152685}",496,5,331.003510945,185.671152685,-16.153838629999996,-42.71044740487684,379.9908559935207,-0.08410781004635982,"{'z': -16.23753566, 'x': 331.39006842, 'y': 186.31106472000002, 'error': 0.002376070898855}","{'z': -16.066136639999996, 'x': 329.91072774, 'y': 185.71856112, 'error': 0.00042143508142400004}","{'z': -16.2004359, 'x': 331.83942655999994, 'y': 185.19726038000002, 'error': 0.0013291771616660002}","{'z': -16.11124632, 'x': 330.87382106, 'y': 185.45772452, 'error': 0.0033478887966540004}"
1534,P048,"{'z': -18.89377764, 'x': 372.84396752000004, 'y': 167.803161945}",534,5,372.84396752000004,167.803161945,-18.89377764,-47.769267368159774,409.4625882335835,-0.07879372440198695,"{'z': -18.868007679999998, 'x': 372.34573612, 'y': 168.36285182, 'error': -0.00013245271491600001}","{'z': -18.799198119999996, 'x': 372.48538252, 'y': 166.76945505999998, 'error': 0.0013160133256610001}","{'z': -19.041234600000003, 'x': 373.53372134, 'y': 168.46361616, 'error': 0.0055834249681790005}","{'z': -18.866670159999998, 'x': 373.0110301, 'y': 167.61672474, 'error': 0.0018006205640040001}"
1482,P054,"{'z': -18.872638965, 'x': 404.2877297, 'y': 59.60758100500001}",482,5,404.2877297,59.60758100500001,-18.872638965,-63.61282104405012,409.2549065566277,-0.0779986228537322,"{'z': -18.94223432, 'x': 404.6390007333334, 'y': 60.26775302000001, 'error': 0.001140572596337}","{'z': -18.73390506, 'x': 403.2005535333333, 'y': 59.59603554, 'error': -0.000846893838275}","{'z': -18.9810363, 'x': 405.14284419999996, 'y': 59.1790081, 'error': 0.0019242908037510002}","{'z': -18.83338018, 'x': 404.1685203333334, 'y': 59.38752736, 'error': 0.003329295539461}"
1011,P091,"{'z': -0.49540680999999903, 'x': 54.436540025, 'y': 32.40971582}",11,5,54.436540025,32.40971582,-0.49540680999999903,-41.23183017009477,63.356597722395335,-0.08767832523120792,"{'z': -0.503926779999999, 'x': 55.190102659999994, 'y': 32.43442076, 'error': 0.004115629027236}","{'z': -0.5062099799999991, 'x': 53.87446776, 'y': 33.35190174, 'error': 0.000258259965499}","{'z': -0.49433545999999906, 'x': 54.49753138000001, 'y': 31.45109476, 'error': -0.00014004359379600001}","{'z': -0.47715501999999904, 'x': 54.18405829999999, 'y': 32.40144602, 'error': 0.003275618426299}"
1321,P099,"{'z': -11.13800401, 'x': 304.216210425, 'y': 86.721223955}",321,5,304.216210425,86.721223955,-11.13800401,-56.08903330180652,316.60235637733103,-0.08478999356386507,"{'z': -11.192511, 'x': 304.59009828, 'y': 87.37139515999999, 'error': 0.002087856209472}","{'z': -11.071596719999999, 'x': 303.12125782, 'y': 86.74206712, 'error': 0.000262509789982}","{'z': -11.184537520000001, 'x': 305.06182249999995, 'y': 86.26721763999998, 'error': 0.00020940415762100002}","{'z': -11.103370799999999, 'x': 304.0916631, 'y': 86.50421589999999, 'error': 0.002594519604922}"
1150,P106,"{'z': -6.5035493550000005, 'x': 241.86809653499998, 'y': 14.35725772}",150,5,241.86809653499998,14.35725772,-6.5035493550000005,-68.60291646316786,242.4132984596817,-0.08844791427803561,"{'z': -6.5480858600000005, 'x': 242.61342071999997, 'y': 14.419577559999999, 'error': -0.0006501061187020001}","{'z': -6.497686159999999, 'x': 241.26030224000002, 'y': 15.269902059999998, 'error': -0.000374590616276}","{'z': -6.4990077799999995, 'x': 241.9788167, 'y': 13.403060120000001, 'error': -8.94437979184204e-05}","{'z': -6.46941762, 'x': 241.61984647999998, 'y': 14.336491139999998, 'error': 0.0014444590491300001}"
